Function,File Path,Count
if,src\lib\components\common\Folder.svelte,14
if,src\lib\components\common\ImagePreview.svelte,6
if,src\lib\components\common\Loader.svelte,2
if,src\lib\components\common\Marquee.svelte,1
if,src\lib\components\common\Modal.svelte,10
if,src\lib\components\common\Overlay.svelte,4
if,src\lib\components\common\Pagination.svelte,2
if,src\lib\components\common\RichTextInput.svelte,44
if,src\lib\components\common\Selector.svelte,4
if,src\lib\components\common\SensitiveInput.svelte,2
if,src\lib\components\common\Sidebar.svelte,2
if,src\lib\components\common\SVGPanZoom.svelte,3
if,src\lib\components\common\Textarea.svelte,2
if,src\lib\components\common\Tooltip.svelte,5
if,src\lib\components\common\Valves.svelte,15
if,src\lib\components\common\Tags\TagInput.svelte,6
if,src\lib\components\layout\Navbar.svelte,6
if,src\lib\components\layout\Sidebar.svelte,76
if,src\lib\components\layout\Help\HelpMenu.svelte,1
if,src\lib\components\layout\Navbar\Menu.svelte,10
if,src\lib\components\layout\Overlay\AccountPending.svelte,2
if,src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte,3
if,src\lib\components\layout\Sidebar\ChannelItem.svelte,4
if,src\lib\components\layout\Sidebar\ChannelModal.svelte,12
if,src\lib\components\layout\Sidebar\ChatItem.svelte,20
if,src\lib\components\layout\Sidebar\ChatMenu.svelte,7
if,src\lib\components\layout\Sidebar\RecursiveFolder.svelte,35
if,src\lib\components\layout\Sidebar\SearchInput.svelte,16
if,src\lib\components\layout\Sidebar\UserMenu.svelte,7
if,src\lib\components\layout\Sidebar\Folders\FolderMenu.svelte,1
if,src\lib\components\workspace\Knowledge.svelte,8
if,src\lib\components\workspace\Models.svelte,20
if,src\lib\components\workspace\Prompts.svelte,6
if,src\lib\components\workspace\Tools.svelte,18
if,src\lib\components\workspace\common\AccessControl.svelte,16
if,src\lib\components\workspace\common\ValvesModal.svelte,15
if,src\lib\components\workspace\Knowledge\CreateKnowledgeBase.svelte,4
if,src\lib\components\workspace\Knowledge\ItemMenu.svelte,1
if,src\lib\components\workspace\Knowledge\KnowledgeBase.svelte,58
if,src\lib\components\workspace\Knowledge\KnowledgeBase\AddContentMenu.svelte,1
if,src\lib\components\workspace\Knowledge\KnowledgeBase\AddTextContentModal.svelte,4
if,src\lib\components\workspace\Knowledge\KnowledgeBase\Files.svelte,2
if,src\lib\components\workspace\Models\ActionsSelector.svelte,2
if,src\lib\components\workspace\Models\FiltersSelector.svelte,2
if,src\lib\components\workspace\Models\Knowledge.svelte,3
if,src\lib\components\workspace\Models\ModelEditor.svelte,62
if,src\lib\components\workspace\Models\ModelMenu.svelte,1
if,src\lib\components\workspace\Models\ToolsSelector.svelte,2
if,src\lib\components\workspace\Models\Knowledge\Selector.svelte,7
if,src\lib\components\workspace\Prompts\PromptEditor.svelte,5
if,src\lib\components\workspace\Prompts\PromptMenu.svelte,1
if,src\lib\components\workspace\Tools\ToolkitEditor.svelte,14
if,src\lib\components\workspace\Tools\ToolMenu.svelte,1
if,src\lib\i18n\index.ts,3
if,src\lib\pyodide\pyodideKernel.ts,7
if,src\lib\pyodide\pyodideKernel.worker.ts,3
if,src\lib\stores\index.ts,1
if,src\lib\utils\index.ts,64
if,src\lib\utils\characters\index.ts,13
if,src\lib\utils\marked\extension.ts,10
if,src\lib\utils\marked\katex-extension.ts,9
if,src\lib\utils\rag\index.ts,2
if,src\lib\workers\kokoro.worker.ts,5
if,src\lib\workers\KokoroWorker.ts,13
if,src\lib\workers\pyodide.worker.ts,8
if,src\routes\+layout.svelte,54
if,src\routes\(app)\+layout.svelte,30
if,src\routes\(app)\admin\+layout.svelte,1
if,src\routes\(app)\admin\functions\+page.svelte,2
if,src\routes\(app)\admin\functions\create\+page.svelte,7
if,src\routes\(app)\admin\functions\edit\+page.svelte,5
if,src\routes\(app)\workspace\+layout.svelte,15
if,src\routes\(app)\workspace\+page.svelte,5
if,src\routes\(app)\workspace\knowledge\+page.svelte,3
if,src\routes\(app)\workspace\models\+page.svelte,2
if,src\routes\(app)\workspace\models\create\+page.svelte,9
if,src\routes\(app)\workspace\models\edit\+page.svelte,6
if,src\routes\(app)\workspace\prompts\create\+page.svelte,4
if,src\routes\(app)\workspace\prompts\edit\+page.svelte,6
if,src\routes\(app)\workspace\tools\create\+page.svelte,8
if,src\routes\(app)\workspace\tools\edit\+page.svelte,4
if,src\routes\auth\+page.svelte,20
if,src\routes\error\+page.svelte,3
if,src\routes\s\[id]\+page.svelte,10
if,src\routes\watch\+page.svelte,1
getPipelinesList,src\lib\apis\index.ts,1
getPipelinesList,src\lib\components\admin\Settings\Pipelines.svelte,2
getModelConfig,src\lib\apis\index.ts,1
length,src\lib\apis\index.ts,1
length,src\lib\apis\streaming\index.ts,3
length,src\lib\components\AddConnectionModal.svelte,1
length,src\lib\components\admin\Functions.svelte,1
length,src\lib\components\admin\Evaluations\Feedbacks.svelte,7
length,src\lib\components\admin\Evaluations\Leaderboard.svelte,6
length,src\lib\components\admin\Settings\Audio.svelte,1
length,src\lib\components\admin\Settings\Connections.svelte,11
length,src\lib\components\admin\Settings\Documents.svelte,1
length,src\lib\components\admin\Settings\Evaluations.svelte,1
length,src\lib\components\admin\Settings\Interface.svelte,4
length,src\lib\components\admin\Settings\Models.svelte,2
length,src\lib\components\admin\Settings\Pipelines.svelte,11
length,src\lib\components\admin\Settings\WebSearch.svelte,1
length,src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte,4
length,src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte,1
length,src\lib\components\admin\Settings\Models\ModelList.svelte,1
length,src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte,6
length,src\lib\components\admin\Users\Groups.svelte,2
length,src\lib\components\admin\Users\UserList.svelte,2
length,src\lib\components\admin\Users\Groups\EditGroupModal.svelte,1
length,src\lib\components\admin\Users\Groups\GroupItem.svelte,1
length,src\lib\components\admin\Users\Groups\Users.svelte,1
length,src\lib\components\admin\Users\UserList\AddUserModal.svelte,3
length,src\lib\components\admin\Users\UserList\UserChatsModal.svelte,2
length,src\lib\components\channel\Channel.svelte,4
length,src\lib\components\channel\MessageInput.svelte,7
length,src\lib\components\channel\Messages.svelte,2
length,src\lib\components\channel\Thread.svelte,3
length,src\lib\components\channel\Messages\Message.svelte,4
length,src\lib\components\channel\Messages\Message\ReactionPicker.svelte,7
length,src\lib\components\chat\Artifacts.svelte,8
length,src\lib\components\chat\Chat.svelte,44
length,src\lib\components\chat\ChatPlaceholder.svelte,2
length,src\lib\components\chat\MessageInput.svelte,20
length,src\lib\components\chat\Messages.svelte,8
length,src\lib\components\chat\ModelSelector.svelte,3
length,src\lib\components\chat\Overview.svelte,2
length,src\lib\components\chat\Placeholder.svelte,2
length,src\lib\components\chat\SettingsModal.svelte,2
length,src\lib\components\chat\Suggestions.svelte,6
length,src\lib\components\chat\Controls\Controls.svelte,1
length,src\lib\components\chat\MessageInput\CallOverlay.svelte,6
length,src\lib\components\chat\MessageInput\InputMenu.svelte,2
length,src\lib\components\chat\MessageInput\VoiceRecording.svelte,8
length,src\lib\components\chat\MessageInput\Commands\Knowledge.svelte,5
length,src\lib\components\chat\MessageInput\Commands\Models.svelte,2
length,src\lib\components\chat\MessageInput\Commands\Prompts.svelte,2
length,src\lib\components\chat\Messages\Citations.svelte,9
length,src\lib\components\chat\Messages\CitationsModal.svelte,1
length,src\lib\components\chat\Messages\CodeBlock.svelte,2
length,src\lib\components\chat\Messages\CodeExecutionModal.svelte,1
length,src\lib\components\chat\Messages\CodeExecutions.svelte,1
length,src\lib\components\chat\Messages\ContentRenderer.svelte,1
length,src\lib\components\chat\Messages\Message.svelte,1
length,src\lib\components\chat\Messages\MultiResponseMessages.svelte,8
length,src\lib\components\chat\Messages\RateComment.svelte,2
length,src\lib\components\chat\Messages\ResponseMessage.svelte,13
length,src\lib\components\chat\Messages\UserMessage.svelte,4
length,src\lib\components\chat\Messages\ResponseMessage\WebSearchResults.svelte,1
length,src\lib\components\chat\ModelSelector\Selector.svelte,5
length,src\lib\components\chat\Settings\Account.svelte,1
length,src\lib\components\chat\Settings\Audio.svelte,1
length,src\lib\components\chat\Settings\Chats.svelte,1
length,src\lib\components\chat\Settings\Connections.svelte,12
length,src\lib\components\chat\Settings\Interface.svelte,1
length,src\lib\components\chat\Settings\Personalization\ManageModal.svelte,4
length,src\lib\components\common\CodeEditor.svelte,2
length,src\lib\components\common\Drawer.svelte,2
length,src\lib\components\common\Folder.svelte,1
length,src\lib\components\common\Marquee.svelte,1
length,src\lib\components\common\Modal.svelte,2
length,src\lib\components\common\RichTextInput.svelte,6
length,src\lib\components\common\SlideShow.svelte,1
length,src\lib\components\common\Tags.svelte,1
length,src\lib\components\common\Valves.svelte,1
length,src\lib\components\layout\Sidebar.svelte,5
length,src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte,2
length,src\lib\components\layout\Sidebar\RecursiveFolder.svelte,5
length,src\lib\components\layout\Sidebar\SearchInput.svelte,9
length,src\lib\components\layout\Sidebar\UserMenu.svelte,3
length,src\lib\components\workspace\Knowledge.svelte,1
length,src\lib\components\workspace\Models.svelte,1
length,src\lib\components\workspace\Prompts.svelte,1
length,src\lib\components\workspace\Tools.svelte,1
length,src\lib\components\workspace\common\AccessControl.svelte,1
length,src\lib\components\workspace\Knowledge\KnowledgeBase.svelte,5
length,src\lib\components\workspace\Models\ActionsSelector.svelte,1
length,src\lib\components\workspace\Models\FiltersSelector.svelte,1
length,src\lib\components\workspace\Models\Knowledge.svelte,1
length,src\lib\components\workspace\Models\ModelEditor.svelte,7
length,src\lib\components\workspace\Models\ToolsSelector.svelte,1
length,src\lib\components\workspace\Models\Knowledge\Selector.svelte,2
length,src\lib\i18n\index.ts,1
length,src\lib\utils\index.ts,22
length,src\lib\utils\characters\index.ts,5
length,src\lib\utils\marked\extension.ts,5
length,src\lib\utils\marked\katex-extension.ts,1
length,src\lib\workers\KokoroWorker.ts,1
length,src\routes\(app)\+layout.svelte,2
length,src\routes\s\[id]\+page.svelte,3
updateModelConfig,src\lib\apis\index.ts,1
updateTaskConfig,src\lib\apis\index.ts,1
updateTaskConfig,src\lib\components\admin\Settings\Interface.svelte,2
getCommunitySharingEnabledStatus,src\lib\apis\index.ts,1
chat,src\lib\apis\index.ts,2
chat,src\lib\apis\chats\index.ts,24
chat,src\lib\apis\ollama\index.ts,1
chat,src\lib\apis\openai\index.ts,2
chat,src\lib\components\admin\Evaluations\Feedbacks.svelte,1
chat,src\lib\components\admin\Settings\Documents.svelte,1
chat,src\lib\components\admin\Settings\Interface.svelte,1
chat,src\lib\components\admin\Settings\Connections\OllamaConnection.svelte,1
chat,src\lib\components\admin\Settings\Connections\OpenAIConnection.svelte,1
chat,src\lib\components\admin\Users\Groups.svelte,1
chat,src\lib\components\admin\Users\Groups\EditGroupModal.svelte,1
