File Type,Element Type,Element Name
.svelte,svelte_prop,imageClassName
.svelte,variable,maxLength
.svelte,variable,focusNode
.svelte,variable,items
.svelte,variable,setRerankingConfig
.svelte,svelte_prop,chatIdProp
.svelte,svelte_prop,selectedModels
.svelte,svelte_prop,top
.svelte,variable,group_ids
.svelte,variable,eventDispatch
.svelte,variable,showAccessControlModal
.svelte,function,scrollHandler
.svelte,svelte_prop,theme
.svelte,variable,drawMermaidDiagram
.svelte,svelte_prop,citation
.svelte,function,speakSpeechSynthesisHandler
.svelte,variable,messageList
.svelte,function,calculateShowRelevance
.svelte,variable,signInHandler
.svelte,variable,saveCode
.svelte,variable,_tool
.svelte,variable,downloadHandler
.svelte,variable,similarity
.svelte,svelte_prop,duration
.svelte,variable,STTEngine
.svelte,function,countFiles
.svelte,function,changeDebounceHandler
.svelte,variable,modelSelectorInput
.svelte,variable,scaledRMS
.svelte,variable,perPage
.svelte,variable,searchSettings
.svelte,variable,chatDirection
.svelte,svelte_prop,label
.svelte,variable,fileItem
.svelte,variable,hideModelHandler
.svelte,variable,_content
.svelte,variable,importChatHandler
.svelte,variable,hash
.svelte,function,keydownHandler
.svelte,variable,lowlight
.svelte,variable,memories
.svelte,variable,selectedMemory
.svelte,variable,formatSeconds
.svelte,variable,onboarding
.svelte,variable,onThread
.svelte,variable,exp
.svelte,variable,save
.svelte,svelte_prop,onAddMessages
.svelte,variable,tagEmbeddings
.svelte,variable,messagesCount
.svelte,variable,loadEmbeddingModel
.svelte,function,takeScreenshot
.svelte,svelte_prop,sendPrompt
.svelte,variable,errorText
.svelte,svelte_prop,saveMessage
.svelte,variable,prompt
.svelte,variable,reaction
.svelte,svelte_prop,chatActionHandler
.svelte,variable,fileMaxCount
.svelte,variable,showResetConfirm
.svelte,svelte_prop,codeExecution
.svelte,variable,_functions
.svelte,variable,sumSquares
.svelte,variable,getStartedHandler
.svelte,variable,chatBubble
.svelte,variable,parentMessageId
.svelte,svelte_prop,meta
.svelte,variable,scrollHandler
.svelte,variable,audioContext
.svelte,svelte_prop,eventTarget
.svelte,variable,profileImageUrl
.svelte,variable,filteredModels
.svelte,function,offsetX
.svelte,variable,userMessageId
.svelte,function,selectNextTemplate
.svelte,function,checkPythonCode
.svelte,variable,files
.svelte,variable,monitorAndPlayAudio
.svelte,variable,deleteFileHandler
.svelte,variable,direct
.svelte,variable,mermaidHtml
.svelte,function,shouldShowPercentage
.svelte,variable,changeDebounceHandler
.svelte,variable,modelObject
.svelte,variable,reasons
.svelte,variable,location
.svelte,variable,transparentBackground
.svelte,variable,inputFilesHandler
.svelte,variable,promptsImportInputElement
.svelte,variable,emoji
.svelte,variable,showMessage
.svelte,function,generateId
.svelte,variable,cloneSharedChat
.svelte,variable,show
.svelte,svelte_prop,codeInterpreterEnabled
.svelte,function,handleUploadError
.svelte,variable,togglesScrollOnBranchChange
.svelte,variable,deletePipelineHandler
.svelte,variable,onTouchEnd
.svelte,variable,keydownHandler
.svelte,variable,onDelete
.svelte,function,formattedTitle
.svelte,variable,link
.svelte,variable,selectUp
.svelte,function,getFilteredPrompts
.svelte,variable,savedPrompts
.svelte,variable,outcome
.svelte,variable,takeScreenshot
.svelte,svelte_prop,url
.svelte,variable,addTagHandler
.svelte,function,validateJSON
.svelte,svelte_prop,lang
.svelte,variable,admin
.svelte,function,file
.svelte,variable,feedback
.svelte,variable,profileImageInputElement
.svelte,svelte_prop,devices
.svelte,variable,entryPath
.svelte,svelte_prop,type
.svelte,variable,chatIdProp
.svelte,svelte_prop,mergeResponses
